customer_id,age,gender,location,membership_start_date,average_purchase_value,purchase_frequency_per_month,last_purchase_date,product_preference,preferred_channel,store_visit_frequency,days_since_last_visit,product_segment,,Mobile
CUST1000,58,Male,East Jessetown,30-08-2020,375.94,2.6,21-10-2023,Gym Gear,In-Store,17,108,Casual Gym-Goer,,9.18281E+11
CUST1001,20,Male,Herrerafurt,21-01-2025,124.95,5.2,18-02-2025,Running Shoes,In-Store,20,107,Casual Gym-Goer,,9.18281E+11
CUST1002,32,Female,Shawhaven,06-01-2024,153.53,8.7,13-04-2024,Gym Gear,Online,10,55,General Buyer,,9.18281E+11
CUST1003,39,Male,Herrerafurt,17-09-2020,202.37,3.7,02-05-2023,Supplements,Online,1,137,Health Conscious Buyer,,9.18281E+11
CUST1004,25,Female,Cassandraton,17-06-2023,284.98,8.3,24-02-2025,Training Wear,Online,18,17,Casual Gym-Goer,,9.18281E+11
CUST1005,20,Other,Daviston,11-09-2020,391.07,9.9,27-09-2023,Gym Gear,In-Store,12,162,Casual Gym-Goer,,9.18281E+11
CUST1006,41,Male,Lake Larry,22-02-2022,190.53,6.8,16-01-2025,Running Shoes,In-Store,17,41,Casual Gym-Goer,,9.18281E+11
CUST1007,47,Female,Danielchester,25-06-2022,494.97,6.5,26-04-2025,Training Wear,In-Store,10,14,General Buyer,,9.18281E+11
CUST1008,32,Male,New Mariotown,26-03-2021,212.56,0.8,26-09-2022,Training Wear,Online,6,101,General Buyer,,9.18281E+11
CUST1009,59,Female,Jacquelineland,13-02-2025,147.14,2.6,09-05-2025,Training Wear,Online,18,149,Casual Gym-Goer,,9.18281E+11
CUST1010,43,Female,Coxberg,25-10-2023,498.72,1.6,18-02-2025,Yoga Accessories,In-Store,1,39,General Buyer,,9.18281E+11
CUST1011,58,Male,Davidstad,03-09-2021,222.64,0.8,05-09-2022,Yoga Accessories,Online,16,141,General Buyer,,9.18281E+11
CUST1012,18,Other,West Juan,27-09-2021,74.98,8.9,20-02-2025,Supplements,Online,3,40,Health Conscious Buyer,,9.18281E+11
CUST1013,47,Male,West Juan,12-11-2021,440.41,2.8,14-08-2023,Training Wear,In-Store,16,160,Casual Gym-Goer,,9.18281E+11
