customer_id,Monetary,total_quantity,Frequency,num_unique_products,last_purchase_date,avg_price_per_unit,store_visit_frequency,Mobile,membership_start_date,Active_days,Avg_purchase_gap_days,Recency,cluster,loyalty,assigned_reward,progress_message,churn_prediction,prediction_probability,risk_level
C0000,26550,23,15,12,2025-01-07,1023.3333333333334,3,9400950651,2024-05-26,370,123.33333333333333,154,1,Gold,20% discount + free shipping,"🎊 Congrats Customer C0000! As a Gold member, enjoy your reward: 20% discount + free shipping. We appreciate your loyalty! 💖",0,9.878103e-13,Low
C0001,5750,6,5,5,2024-05-06,790.0,1,9400950651,2024-05-06,390,390.0,400,2,No tier,No reward,⚠️ Hi Customer C0001! You currently have no loyalty tier. Make 10 more purchases or spend ₹24250 more to unlock exciting rewards! 🚀,0,1.4006125e-09,Low
C0003,9250,7,5,5,2025-03-17,1130.0,1,9400950651,2025-03-17,75,75.0,85,0,No tier,No reward,⚠️ Hi Customer C0003! You currently have no loyalty tier. Make 10 more purchases or spend ₹20750 more to unlock exciting rewards! 🚀,0,7.636251e-09,Low
C0004,8500,6,5,5,2024-04-29,1460.0,1,9400950651,2024-04-29,397,397.0,407,2,No tier,No reward,⚠️ Hi Customer C0004! You currently have no loyalty tier. Make 10 more purchases or spend ₹21500 more to unlock exciting rewards! 🚀,0,4.2322625e-09,Low
C0006,8250,8,5,5,2024-01-12,1150.0,1,9400950651,2024-01-12,505,505.0,515,2,No tier,No reward,⚠️ Hi Customer C0006! You currently have no loyalty tier. Make 10 more purchases or spend ₹21750 more to unlock exciting rewards! 🚀,0,2.6781602e-12,Low
C0007,15800,20,15,12,2025-05-22,826.6666666666666,3,9400950651,2024-02-28,458,152.66666666666666,19,1,Gold,20% discount + free shipping,"🎊 Congrats Customer C0007! As a Gold member, enjoy your reward: 20% discount + free shipping. We appreciate your loyalty! 💖",0,6.7838395e-11,Low
C0009,5450,5,5,5,2024-09-29,1090.0,1,9400950651,2024-09-29,244,244.0,254,0,No tier,No reward,⚠️ Hi Customer C0009! You currently have no loyalty tier. Make 10 more purchases or spend ₹24550 more to unlock exciting rewards! 🚀,0,3.0897343e-07,Low
C0010,6100,5,5,5,2024-04-07,1220.0,1,9400950651,2024-04-07,419,419.0,429,2,No tier,No reward,⚠️ Hi Customer C0010! You currently have no loyalty tier. Make 10 more purchases or spend ₹23900 more to unlock exciting rewards! 🚀,0,2.8487748e-10,Low
C0011,42550,38,30,18,2024-11-13,1125.0,6,9400950651,2024-05-07,389,64.83333333333333,209,1,Gold,20% discount + free shipping,"🎊 Congrats Customer C0011! As a Gold member, enjoy your reward: 20% discount + free shipping. We appreciate your loyalty! 💖",0,1.02742193e-25,Low
C0012,12350,14,10,8,2024-07-02,860.0,2,9400950651,2024-02-05,481,240.5,343,3,No tier,No reward,⚠️ Hi Customer C0012! You currently have no loyalty tier. Make 5 more purchases or spend ₹17650 more to unlock exciting rewards! 🚀,0,7.595372e-06,Low
C0013,6300,6,5,5,2024-10-14,1020.0,1,9400950651,2024-10-14,229,229.0,239,0,No tier,No reward,⚠️ Hi Customer C0013! You currently have no loyalty tier. Make 10 more purchases or spend ₹23700 more to unlock exciting rewards! 🚀,0,1.0351719e-06,Low
C0015,5350,7,5,5,2024-11-24,640.0,1,9400950651,2024-11-24,188,188.0,198,0,No tier,No reward,⚠️ Hi Customer C0015! You currently have no loyalty tier. Make 10 more purchases or spend ₹24650 more to unlock exciting rewards! 🚀,0,1.8549169e-07,Low
C0016,32650,41,30,21,2025-05-08,835.0,6,9400950651,2024-03-03,454,75.66666666666667,33,1,Gold,20% discount + free shipping,"🎊 Congrats Customer C0016! As a Gold member, enjoy your reward: 20% discount + free shipping. We appreciate your loyalty! 💖",0,8.76963e-24,Low
